player,player_id,Season,Included in rank?,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Cam Ward,133244,2025,1,TEN,17,70.7,485,540,7.8,2.98,9,21,3.7,59.8,323,0,230,5.8,623,20,-0.21,163,31,30,58.4,56.4,70.1,6,7,662,3,38,23.9,80.2,8.8,55,24,3,37,15,23,3.5,3169,5.9
Josh Allen,46601,2025,1,BUF,18,78.2,510,534,7.8,2.99,6,29,5.1,69.7,372,0,237,6.8,642,27,0.15,223,4,70,90.5,84,90.8,4,12,677,5,49.4,18.6,101.8,6.9,44,59,1,13,29,16,2.4,4224,7.9
Aaron Rodgers,2241,2025,1,PIT,17,75.2,487,531,6.6,2.58,9,27,4.8,64.8,344,0,154,6,579,22,-0.06,153,25,52.9,68,68.8,42.7,7,8,612,6,42.5,21.4,92.1,5.7,33,12,2,26,24,16,2.6,3468,6.5
Bryce Young,123943,2025,1,CAR,17,76.7,454,518,7.2,2.84,10,25,4.5,62.7,325,1,220,6.6,586,23,-0.09,181,5,56.5,71,68.2,72.6,9,12,626,6,44.5,13.2,86.5,4.9,29,35,2,43,24,17,2.7,3275,6.3
Patrick Mahomes,11765,2025,1,KC,14,73.3,461,502,8.3,2.93,9,23,4.3,62.7,315,0,205,6.8,594,23,0.12,197,16,70.2,76,70.7,86.7,4,11,636,5,50,16.6,89.6,5.7,34,53,2,26,22,20,3.1,3587,7.1
C.J. Stroud,129759,2025,1,HST,16,69.4,461,502,8.6,2.81,7,18,3.3,62.5,314,0,209,1.9,559,6,0.03,167,13,60.7,65,62,73.2,8,13,604,4,44.5,13.9,86.4,5.2,29,28,3,23,21,23,3.8,3503,7
Jalen Hurts,40291,2025,1,PHI,17,74.2,445,489,9.2,3.05,6,25,4.8,64.2,314,0,202,4.8,569,16,0.05,172,24,61.2,79,76.7,71.6,7,6,602,5,44.5,16.3,97.1,5.8,33,40,2,29,26,12,2,3392,6.9
Jordan Love,40306,2025,1,GB,16,76.8,436,485,9.4,2.82,6,30,5.9,64.9,315,0,209,6,542,20,0.2,185,12,62.9,88.8,88.7,54.5,9,6,572,5,50.9,10.5,101.4,4.1,22,25,1,33,27,15,2.6,3704,7.6
Jacoby Brissett,10725,2025,1,ARZ,13,74.7,443,485,8.1,2.97,3,17,3.3,64.9,315,0,225,4.8,550,16,-0.01,173,1,52.2,70.6,68.6,68.9,7,8,581,3,45.6,19.1,94.1,7.8,43,22,1,31,23,16,2.8,3366,6.9
Geno Smith,7820,2025,1,LV,15,76.9,415,448,6.9,2.79,8,14,3,67.4,302,0,212,5.3,524,17,-0.14,154,23,67.4,60.9,58.2,70.3,7,17,557,4,43.7,25.9,84.7,10.5,55,18,2,16,19,23,4.1,3025,6.8
Joe Flacco,4332,2025,1,CIN,12,73,374,416,7.6,2.6,5,16,3.6,60.3,251,1,148,8.1,438,22,-0.17,118,7,60.2,68,66.8,76.1,7,10,466,8,40.9,12.2,79.2,4.1,18,4,4,26,15,15,3.2,2479,6
Daniel Jones,39395,2025,1,IND,13,76.2,362,384,8.6,2.76,7,13,3.1,68,261,0,151,5.4,429,15,0.14,157,14,50.5,71.7,68.7,73.7,5,8,460,5,51.5,14.6,100.2,5.1,22,23,2,8,19,18,3.9,3101,8.1
Tua Tagovailoa,60326,2025,1,MIA,14,76.5,362,384,7.2,2.55,4,18,4.4,67.7,260,0,131,6.1,440,17,-0.03,143,17,45.4,62.1,65.8,27,1,15,465,4,43.4,22.9,88.5,6.8,30,12,2,15,20,25,5.4,2660,6.9
Brock Purdy,77672,2025,1,SF,11,78.7,310,342,8.1,3.22,3,15,4.2,67.3,230,1,156,5.7,384,14,0.08,160,28,65.8,85.4,82.6,75.7,7,13,404,3,50.8,9,95,3.6,14,25,0,22,22,15,3.7,2569,7.5
Jaxson Dart,146409,2025,1,NYG,13,74.4,313,339,8.8,3.07,8,19,5.2,63.7,216,1,152,7.3,413,17,-0.01,121,21,51.4,67.9,64.2,76.9,5,5,447,9,44.8,23,91.7,8.5,35,38,1,12,15,15,3.4,2272,6.7
Tyler Shough,83537,2025,1,NO,11,76.5,306,327,8.7,2.7,6,13,3.8,67.6,221,0,124,5.6,378,13,0,113,20,86.6,74.6,73.1,64.8,3,6,397,0,43.9,25,91.3,8.2,31,20,3,9,10,8,2,2384,7.3
Lamar Jackson,46416,2025,1,BLT,13,74.3,276,302,9.7,3.16,8,9,2.8,63.6,192,0,156,6.3,368,13,0.03,122,3,45.5,74,69,78.6,5,7,393,4,48.1,23.1,103.8,9.8,36,30,2,11,21,12,3.1,2549,8.4
Mac Jones,60323,2025,1,SF,9,79.6,270,293,7.7,2.66,7,8,2.6,69.3,203,0,96,5.6,321,12,0.07,110,28,72.4,76.7,75.4,66.9,4,6,334,3,50.8,17.7,96.7,5.3,17,9,3,9,13,10,3,2155,7.4
Michael Penix Jr.,82134,2025,1,ATL,9,71.3,247,276,8.8,2.82,3,8,2.7,60.1,166,0,106,5.7,303,10,0.01,104,2,73.1,59.3,58,66.2,9,3,325,7,47.2,12.3,88.5,4.3,13,13,0,17,9,11,3.4,1982,7.2
Kirk Cousins,7102,2025,1,ATL,10,72.3,249,269,7.4,2.57,2,9,3.2,61.7,166,0,103,7.8,289,14,-0.06,87,2,68.4,76,75,66.3,3,5,302,5,43.6,12.6,84.8,4.5,13,2,3,12,10,5,1.7,1721,6.4
Joe Burrow,28022,2025,1,CIN,8,75.3,243,259,8.1,2.76,3,18,6.6,66.8,173,0,86,5.5,288,10,0.06,101,7,90.7,91.8,91.3,59,3,5,303,4,49.3,19.8,100.7,5.9,17,9,0,10,17,2,0.7,1809,7
Spencer Rattler,97408,2025,1,NO,9,75.6,242,257,8.3,2.63,2,11,4,67.7,174,0,111,4.9,292,9,-0.12,83,20,44.8,70,66.1,76.9,1,5,314,3,47.3,16.2,86.5,6.2,18,15,3,9,8,17,5.4,1586,6.2
J.J. McCarthy,144918,2025,1,MIN,10,71,221,243,9.5,3.01,11,19,7.3,57.6,140,0,115,10.8,291,17,-0.15,88,18,28.3,61.8,60.1,71.6,6,12,310,6,43.6,23.5,72.6,9.3,27,17,0,5,11,15,4.8,1632,6.7
