player,player_id,position,team_name,player_game_count,base_attempts,base_dropbacks,behind_los_accuracy_percent,behind_los_aimed_passes,behind_los_attempts,behind_los_attempts_percent,behind_los_avg_depth_of_target,behind_los_avg_time_to_throw,behind_los_bats,behind_los_big_time_throws,behind_los_btt_rate,behind_los_completion_percent,behind_los_completions,behind_los_def_gen_pressures,behind_los_drop_rate,behind_los_dropbacks,behind_los_drops,behind_los_epa,behind_los_first_downs,behind_los_grades_pass,behind_los_hit_as_threw,behind_los_interceptions,behind_los_passing_snaps,behind_los_positive_epa_percent,behind_los_pressure_to_sack_rate,behind_los_qb_rating,behind_los_sack_percent,behind_los_sacks,behind_los_scrambles,behind_los_spikes,behind_los_thrown_aways,behind_los_touchdowns,behind_los_turnover_worthy_plays,behind_los_twp_rate,behind_los_yards,behind_los_ypa,center_behind_los_accuracy_percent,center_behind_los_aimed_passes,center_behind_los_attempts,center_behind_los_attempts_percent,center_behind_los_avg_depth_of_target,center_behind_los_avg_time_to_throw,center_behind_los_bats,center_behind_los_big_time_throws,center_behind_los_btt_rate,center_behind_los_completion_percent,center_behind_los_completions,center_behind_los_def_gen_pressures,center_behind_los_drop_rate,center_behind_los_dropbacks,center_behind_los_drops,center_behind_los_epa,center_behind_los_first_downs,center_behind_los_grades_pass,center_behind_los_hit_as_threw,center_behind_los_interceptions,center_behind_los_passing_snaps,center_behind_los_positive_epa_percent,center_behind_los_pressure_to_sack_rate,center_behind_los_qb_rating,center_behind_los_sack_percent,center_behind_los_sacks,center_behind_los_scrambles,center_behind_los_spikes,center_behind_los_thrown_aways,center_behind_los_touchdowns,center_behind_los_turnover_worthy_plays,center_behind_los_twp_rate,center_behind_los_yards,center_behind_los_ypa,center_deep_accuracy_percent,center_deep_aimed_passes,center_deep_attempts,center_deep_attempts_percent,center_deep_avg_depth_of_target,center_deep_avg_time_to_throw,center_deep_bats,center_deep_big_time_throws,center_deep_btt_rate,center_deep_completion_percent,center_deep_completions,center_deep_def_gen_pressures,center_deep_drop_rate,center_deep_dropbacks,center_deep_drops,center_deep_epa,center_deep_first_downs,center_deep_grades_pass,center_deep_hit_as_threw,center_deep_interceptions,center_deep_passing_snaps,center_deep_positive_epa_percent,center_deep_pressure_to_sack_rate,center_deep_qb_rating,center_deep_sack_percent,center_deep_sacks,center_deep_scrambles,center_deep_spikes,center_deep_thrown_aways,center_deep_touchdowns,center_deep_turnover_worthy_plays,center_deep_twp_rate,center_deep_yards,center_deep_ypa,center_medium_accuracy_percent,center_medium_aimed_passes,center_medium_attempts,center_medium_attempts_percent,center_medium_avg_depth_of_target,center_medium_avg_time_to_throw,center_medium_bats,center_medium_big_time_throws,center_medium_btt_rate,center_medium_completion_percent,center_medium_completions,center_medium_def_gen_pressures,center_medium_drop_rate,center_medium_dropbacks,center_medium_drops,center_medium_epa,center_medium_first_downs,center_medium_grades_pass,center_medium_hit_as_threw,center_medium_interceptions,center_medium_passing_snaps,center_medium_positive_epa_percent,center_medium_pressure_to_sack_rate,center_medium_qb_rating,center_medium_sack_percent,center_medium_sacks,center_medium_scrambles,center_medium_spikes,center_medium_thrown_aways,center_medium_touchdowns,center_medium_turnover_worthy_plays,center_medium_twp_rate,center_medium_yards,center_medium_ypa,center_short_accuracy_percent,center_short_aimed_passes,center_short_attempts,center_short_attempts_percent,center_short_avg_depth_of_target,center_short_avg_time_to_throw,center_short_bats,center_short_big_time_throws,center_short_btt_rate,center_short_completion_percent,center_short_completions,center_short_def_gen_pressures,center_short_drop_rate,center_short_dropbacks,center_short_drops,center_short_epa,center_short_first_downs,center_short_grades_pass,center_short_hit_as_threw,center_short_interceptions,center_short_passing_snaps,center_short_positive_epa_percent,center_short_pressure_to_sack_rate,center_short_qb_rating,center_short_sack_percent,center_short_sacks,center_short_scrambles,center_short_spikes,center_short_thrown_aways,center_short_touchdowns,center_short_turnover_worthy_plays,center_short_twp_rate,center_short_yards,center_short_ypa,declined_penalties,deep_accuracy_percent,deep_aimed_passes,deep_attempts,deep_attempts_percent,deep_avg_depth_of_target,deep_avg_time_to_throw,deep_bats,deep_big_time_throws,deep_btt_rate,deep_completion_percent,deep_completions,deep_def_gen_pressures,deep_drop_rate,deep_dropbacks,deep_drops,deep_epa,deep_first_downs,deep_grades_pass,deep_hit_as_threw,deep_interceptions,deep_passing_snaps,deep_positive_epa_percent,deep_pressure_to_sack_rate,deep_qb_rating,deep_sack_percent,deep_sacks,deep_scrambles,deep_spikes,deep_thrown_aways,deep_touchdowns,deep_turnover_worthy_plays,deep_twp_rate,deep_yards,deep_ypa,franchise_id,left_behind_los_accuracy_percent,left_behind_los_aimed_passes,left_behind_los_attempts,left_behind_los_attempts_percent,left_behind_los_avg_depth_of_target,left_behind_los_avg_time_to_throw,left_behind_los_bats,left_behind_los_big_time_throws,left_behind_los_btt_rate,left_behind_los_completion_percent,left_behind_los_completions,left_behind_los_def_gen_pressures,left_behind_los_drop_rate,left_behind_los_dropbacks,left_behind_los_drops,left_behind_los_epa,left_behind_los_first_downs,left_behind_los_grades_pass,left_behind_los_hit_as_threw,left_behind_los_interceptions,left_behind_los_passing_snaps,left_behind_los_positive_epa_percent,left_behind_los_pressure_to_sack_rate,left_behind_los_qb_rating,left_behind_los_sack_percent,left_behind_los_sacks,left_behind_los_scrambles,left_behind_los_spikes,left_behind_los_thrown_aways,left_behind_los_touchdowns,left_behind_los_turnover_worthy_plays,left_behind_los_twp_rate,left_behind_los_yards,left_behind_los_ypa,left_deep_accuracy_percent,left_deep_aimed_passes,left_deep_attempts,left_deep_attempts_percent,left_deep_avg_depth_of_target,left_deep_avg_time_to_throw,left_deep_bats,left_deep_big_time_throws,left_deep_btt_rate,left_deep_completion_percent,left_deep_completions,left_deep_def_gen_pressures,left_deep_drop_rate,left_deep_dropbacks,left_deep_drops,left_deep_epa,left_deep_first_downs,left_deep_grades_pass,left_deep_hit_as_threw,left_deep_interceptions,left_deep_passing_snaps,left_deep_positive_epa_percent,left_deep_pressure_to_sack_rate,left_deep_qb_rating,left_deep_sack_percent,left_deep_sacks,left_deep_scrambles,left_deep_spikes,left_deep_thrown_aways,left_deep_touchdowns,left_deep_turnover_worthy_plays,left_deep_twp_rate,left_deep_yards,left_deep_ypa,left_medium_accuracy_percent,left_medium_aimed_passes,left_medium_attempts,left_medium_attempts_percent,left_medium_avg_depth_of_target,left_medium_avg_time_to_throw,left_medium_bats,left_medium_big_time_throws,left_medium_btt_rate,left_medium_completion_percent,left_medium_completions,left_medium_def_gen_pressures,left_medium_drop_rate,left_medium_dropbacks,left_medium_drops,left_medium_epa,left_medium_first_downs,left_medium_grades_pass,left_medium_hit_as_threw,left_medium_interceptions,left_medium_passing_snaps,left_medium_positive_epa_percent,left_medium_pressure_to_sack_rate,left_medium_qb_rating,left_medium_sack_percent,left_medium_sacks,left_medium_scrambles,left_medium_spikes,left_medium_thrown_aways,left_medium_touchdowns,left_medium_turnover_worthy_plays,left_medium_twp_rate,left_medium_yards,left_medium_ypa,left_short_accuracy_percent,left_short_aimed_passes,left_short_attempts,left_short_attempts_percent,left_short_avg_depth_of_target,left_short_avg_time_to_throw,left_short_bats,left_short_big_time_throws,left_short_btt_rate,left_short_completion_percent,left_short_completions,left_short_def_gen_pressures,left_short_drop_rate,left_short_dropbacks,left_short_drops,left_short_epa,left_short_first_downs,left_short_grades_pass,left_short_hit_as_threw,left_short_interceptions,left_short_passing_snaps,left_short_positive_epa_percent,left_short_pressure_to_sack_rate,left_short_qb_rating,left_short_sack_percent,left_short_sacks,left_short_scrambles,left_short_spikes,left_short_thrown_aways,left_short_touchdowns,left_short_turnover_worthy_plays,left_short_twp_rate,left_short_yards,left_short_ypa,medium_accuracy_percent,medium_aimed_passes,medium_attempts,medium_attempts_percent,medium_avg_depth_of_target,medium_avg_time_to_throw,medium_bats,medium_big_time_throws,medium_btt_rate,medium_completion_percent,medium_completions,medium_def_gen_pressures,medium_drop_rate,medium_dropbacks,medium_drops,medium_epa,medium_first_downs,medium_grades_pass,medium_hit_as_threw,medium_interceptions,medium_passing_snaps,medium_positive_epa_percent,medium_pressure_to_sack_rate,medium_qb_rating,medium_sack_percent,medium_sacks,medium_scrambles,medium_spikes,medium_thrown_aways,medium_touchdowns,medium_turnover_worthy_plays,medium_twp_rate,medium_yards,medium_ypa,penalties,right_behind_los_accuracy_percent,right_behind_los_aimed_passes,right_behind_los_attempts,right_behind_los_attempts_percent,right_behind_los_avg_depth_of_target,right_behind_los_avg_time_to_throw,right_behind_los_bats,right_behind_los_big_time_throws,right_behind_los_btt_rate,right_behind_los_completion_percent,right_behind_los_completions,right_behind_los_def_gen_pressures,right_behind_los_drop_rate,right_behind_los_dropbacks,right_behind_los_drops,right_behind_los_epa,right_behind_los_first_downs,right_behind_los_grades_pass,right_behind_los_hit_as_threw,right_behind_los_interceptions,right_behind_los_passing_snaps,right_behind_los_positive_epa_percent,right_behind_los_pressure_to_sack_rate,right_behind_los_qb_rating,right_behind_los_sack_percent,right_behind_los_sacks,right_behind_los_scrambles,right_behind_los_spikes,right_behind_los_thrown_aways,right_behind_los_touchdowns,right_behind_los_turnover_worthy_plays,right_behind_los_twp_rate,right_behind_los_yards,right_behind_los_ypa,right_deep_accuracy_percent,right_deep_aimed_passes,right_deep_attempts,right_deep_attempts_percent,right_deep_avg_depth_of_target,right_deep_avg_time_to_throw,right_deep_bats,right_deep_big_time_throws,right_deep_btt_rate,right_deep_completion_percent,right_deep_completions,right_deep_def_gen_pressures,right_deep_drop_rate,right_deep_dropbacks,right_deep_drops,right_deep_epa,right_deep_first_downs,right_deep_grades_pass,right_deep_hit_as_threw,right_deep_interceptions,right_deep_passing_snaps,right_deep_positive_epa_percent,right_deep_pressure_to_sack_rate,right_deep_qb_rating,right_deep_sack_percent,right_deep_sacks,right_deep_scrambles,right_deep_spikes,right_deep_thrown_aways,right_deep_touchdowns,right_deep_turnover_worthy_plays,right_deep_twp_rate,right_deep_yards,right_deep_ypa,right_medium_accuracy_percent,right_medium_aimed_passes,right_medium_attempts,right_medium_attempts_percent,right_medium_avg_depth_of_target,right_medium_avg_time_to_throw,right_medium_bats,right_medium_big_time_throws,right_medium_btt_rate,right_medium_completion_percent,right_medium_completions,right_medium_def_gen_pressures,right_medium_drop_rate,right_medium_dropbacks,right_medium_drops,right_medium_epa,right_medium_first_downs,right_medium_grades_pass,right_medium_hit_as_threw,right_medium_interceptions,right_medium_passing_snaps,right_medium_positive_epa_percent,right_medium_pressure_to_sack_rate,right_medium_qb_rating,right_medium_sack_percent,right_medium_sacks,right_medium_scrambles,right_medium_spikes,right_medium_thrown_aways,right_medium_touchdowns,right_medium_turnover_worthy_plays,right_medium_twp_rate,right_medium_yards,right_medium_ypa,right_short_accuracy_percent,right_short_aimed_passes,right_short_attempts,right_short_attempts_percent,right_short_avg_depth_of_target,right_short_avg_time_to_throw,right_short_bats,right_short_big_time_throws,right_short_btt_rate,right_short_completion_percent,right_short_completions,right_short_def_gen_pressures,right_short_drop_rate,right_short_dropbacks,right_short_drops,right_short_epa,right_short_first_downs,right_short_grades_pass,right_short_hit_as_threw,right_short_interceptions,right_short_passing_snaps,right_short_positive_epa_percent,right_short_pressure_to_sack_rate,right_short_qb_rating,right_short_sack_percent,right_short_sacks,right_short_scrambles,right_short_spikes,right_short_thrown_aways,right_short_touchdowns,right_short_turnover_worthy_plays,right_short_twp_rate,right_short_yards,right_short_ypa,short_accuracy_percent,short_aimed_passes,short_attempts,short_attempts_percent,short_avg_depth_of_target,short_avg_time_to_throw,short_bats,short_big_time_throws,short_btt_rate,short_completion_percent,short_completions,short_def_gen_pressures,short_drop_rate,short_dropbacks,short_drops,short_epa,short_first_downs,short_grades_pass,short_hit_as_threw,short_interceptions,short_passing_snaps,short_positive_epa_percent,short_pressure_to_sack_rate,short_qb_rating,short_sack_percent,short_sacks,short_scrambles,short_spikes,short_thrown_aways,short_touchdowns,short_turnover_worthy_plays,short_twp_rate,short_yards,short_ypa
Patrick Mahomes,11765,QB,KC,19,664,770,95.0,140,140,21.1,-2.9,1.76,0,0,0.0,90.0,126,17,5.3,140,7,0.04,37,73.1,0,0,145,50.0,0.0,92.0,0.0,0,0,0,0,2,0,0.0,691,4.9,94.8,77,77,11.6,-3.2,1.74,0,0,0.0,90.9,70,9,4.1,77,3,0.08,22,71.5,0,0,81,48.1,0.0,91.1,0.0,0,0,0,0,1,0,0.0,372,4.8,13.3,15,15,2.3,40.3,3.57,0,2,12.5,13.3,2,6,0.0,15,0,-0.51,2,54.3,0,2,16,20.0,0.0,33.3,0.0,0,0,0,0,1,2,12.5,85,5.7,70.5,61,61,9.2,13.8,3.22,0,2,3.1,65.6,40,26,7.0,61,3,0.57,39,79.9,0,4,65,65.6,0.0,108.0,0.0,0,0,0,0,5,5,7.7,750,12.3,82.2,163,163,24.5,3.9,2.34,0,0,0.0,78.5,128,29,4.5,163,6,0.33,67,84.9,0,2,174,66.3,0.0,103.1,0.0,0,0,0,0,6,0,0.0,1144,7.0,0,31.5,54,54,8.1,32.4,3.35,0,16,25.8,29.6,16,17,5.9,54,1,0.14,16,87.9,0,4,62,31.5,0.0,78.7,0.0,0,0,0,0,6,7,11.3,589,10.9,16,100.0,30,30,4.5,-2.4,1.6,0,0,0.0,90.0,27,3,10.0,30,3,0.09,10,70.4,0,0,30,53.3,0.0,100.8,0.0,0,0,0,0,1,0,0.0,166,5.5,37.5,16,16,2.4,31.4,3.03,0,7,36.8,31.3,5,3,16.7,16,1,0.22,5,94.9,0,1,19,31.3,0.0,91.1,0.0,0,0,0,0,3,2,10.5,190,11.9,52.2,23,23,3.5,14.0,2.76,0,2,8.3,52.2,12,7,0.0,23,0,0.41,12,67.3,0,1,24,52.2,0.0,76.5,0.0,0,0,0,0,1,1,4.2,191,8.3,81.4,59,59,8.9,4.1,2.55,0,0,0.0,78.0,46,19,4.2,59,2,0.48,29,75.6,0,0,61,57.6,0.0,124.6,0.0,0,0,0,0,5,0,0.0,421,7.1,65.1,126,126,19.0,14.0,3.24,0,7,5.2,61.1,77,51,6.1,126,5,0.46,74,78.5,0,7,134,59.5,0.0,98.5,0.0,0,0,0,0,9,9,6.7,1355,10.8,0,90.9,33,33,5.0,-2.8,1.94,0,0,0.0,87.9,29,5,3.3,33,1,-0.11,5,66.5,0,0,34,51.5,0.0,86.0,0.0,0,0,0,0,0,0,0.0,153,4.6,39.1,23,23,3.5,27.8,3.44,0,7,25.9,39.1,9,8,0.0,23,0,0.5,9,80.0,0,1,27,39.1,0.0,97.6,0.0,0,0,0,0,2,3,11.1,314,13.7,64.3,42,42,6.3,14.4,3.53,0,3,6.7,59.5,25,18,7.4,42,2,0.33,23,71.1,0,2,45,54.8,0.0,96.7,0.0,0,0,0,0,3,3,6.7,414,9.9,79.7,69,69,10.4,4.3,2.47,0,1,1.4,78.3,54,11,1.8,69,1,0.32,23,73.5,0,0,71,71.0,0.0,105.7,0.0,0,0,0,0,3,0,0.0,407,5.9,81.4,291,291,43.8,4.0,2.41,0,1,0.3,78.4,228,59,3.8,291,9,0.36,119,85.3,0,2,306,65.6,0.0,108.1,0.0,0,0,0,0,14,0,0.0,1972,6.8
Jayden Daniels,97993,QB,WAS,20,594,736,94.9,117,117,19.7,-3.6,1.77,0,0,0.0,92.3,108,10,2.7,117,3,-0.08,24,72.6,0,1,120,48.7,0.0,91.7,0.0,0,0,0,0,1,0,0.0,722,6.2,95.0,60,60,10.1,-3.8,1.7,0,0,0.0,91.7,55,5,3.5,60,2,-0.07,12,70.2,0,1,61,55.0,0.0,85.9,0.0,0,0,0,0,0,0,0.0,377,6.3,33.3,12,12,2.0,30.4,3.86,0,2,15.4,25.0,3,5,25.0,12,1,-0.38,3,40.7,0,2,13,25.0,0.0,53.8,0.0,0,0,0,0,1,4,30.8,111,9.3,76.4,72,72,12.1,13.5,2.92,0,4,5.2,68.1,49,14,10.9,72,6,0.73,45,93.4,0,3,77,66.7,0.0,119.3,0.0,0,0,0,0,7,2,2.6,786,10.9,79.3,140,140,23.6,4.7,2.37,0,0,0.0,76.4,107,36,3.6,140,4,0.31,48,69.1,0,1,142,61.4,0.0,107.2,0.0,0,0,0,0,8,2,1.4,852,6.1,0,38.6,57,57,9.6,32.2,3.37,0,15,23.4,35.1,20,27,9.1,57,2,0.45,20,88.2,0,4,64,35.1,0.0,93.8,0.0,0,0,0,0,7,5,7.8,795,13.9,32,100.0,17,17,2.9,-3.5,1.98,0,0,0.0,94.1,16,1,5.9,17,1,0.32,3,67.7,0,0,18,47.1,0.0,128.9,0.0,0,0,0,0,1,0,0.0,174,10.2,38.5,26,26,4.4,30.7,3.02,0,7,25.0,38.5,10,11,0.0,26,0,0.57,10,91.0,0,1,28,38.5,0.0,108.7,0.0,0,0,0,0,3,0,0.0,354,13.6,80.0,20,20,3.4,14.3,3.08,0,2,9.1,65.0,13,6,18.8,20,3,0.54,12,94.5,0,0,22,65.0,0.0,132.3,0.0,0,0,0,0,3,0,0.0,175,8.8,86.1,36,36,6.1,4.7,2.39,0,0,0.0,86.1,31,4,0.0,36,0,0.49,18,69.1,0,0,41,61.1,0.0,104.7,0.0,0,0,0,0,1,0,0.0,249,6.9,75.2,125,125,21.0,13.6,3.0,0,7,5.1,66.4,83,29,11.7,125,11,0.6,76,96.0,0,3,136,65.6,0.0,122.4,0.0,0,0,0,0,12,2,1.5,1288,10.3,0,92.5,40,40,6.7,-3.4,1.8,0,0,0.0,92.5,37,4,0.0,40,0,-0.26,9,69.4,0,0,41,40.0,0.0,84.5,0.0,0,0,0,0,0,0,0.0,171,4.3,42.1,19,19,3.2,35.4,3.54,0,6,26.1,36.8,7,11,12.5,19,1,0.82,7,91.7,0,1,23,36.8,0.0,102.5,0.0,0,0,0,0,3,1,4.3,330,17.4,69.7,33,33,5.6,13.2,3.12,0,1,2.7,63.6,21,9,8.7,33,2,0.37,19,90.2,0,0,37,63.6,0.0,116.6,0.0,0,0,0,0,2,0,0.0,327,9.9,80.8,73,73,12.3,4.2,2.51,0,0,0.0,78.1,57,16,3.4,73,2,0.24,26,69.2,0,1,79,57.5,0.0,93.2,0.0,0,0,0,0,1,1,1.3,484,6.6,80.7,249,249,41.9,4.5,2.41,0,0,0.0,78.3,195,56,3.0,249,6,0.32,92,71.7,0,2,262,60.2,0.0,103.2,0.0,0,0,0,0,10,3,1.1,1585,6.4
Joe Burrow,28022,QB,CIN,17,652,725,97.6,82,82,12.6,-3.1,2.03,0,0,0.0,91.5,75,14,6.3,82,5,-0.12,25,74.2,0,1,84,46.3,0.0,95.5,0.0,0,0,0,0,3,0,0.0,428,5.2,97.6,42,42,6.4,-3.1,1.98,0,0,0.0,88.1,37,8,9.8,42,4,-0.2,11,71.8,0,0,44,40.5,0.0,92.9,0.0,0,0,0,0,1,0,0.0,184,4.4,57.1,14,14,2.1,27.9,3.26,0,6,40.0,57.1,8,8,0.0,14,0,1.2,8,97.0,0,1,15,57.1,0.0,111.6,0.0,0,0,0,0,3,1,6.7,309,22.1,71.6,67,67,10.3,13.2,2.91,0,5,7.2,65.7,44,27,8.3,67,4,0.8,43,94.9,0,2,69,64.2,0.0,135.9,0.0,0,0,0,0,8,2,2.9,836,12.5,88.6,176,176,27.0,4.4,2.3,0,3,1.6,83.0,146,36,6.4,176,10,0.24,62,90.4,0,3,185,65.9,0.0,107.3,0.0,0,0,0,0,10,2,1.1,1216,6.9,0,43.6,55,55,8.4,29.4,2.95,0,20,30.3,41.8,23,23,4.2,55,1,0.49,23,93.4,0,3,66,41.8,0.0,105.9,0.0,0,0,0,0,9,3,4.5,784,14.3,7,100.0,23,23,3.5,-3.0,2.05,0,0,0.0,100.0,23,5,0.0,23,0,0.08,7,69.5,0,0,23,56.5,0.0,86.6,0.0,0,0,0,0,0,0,0.0,110,4.8,47.1,17,17,2.6,30.1,3.11,0,6,33.3,47.1,8,6,0.0,17,0,0.8,8,93.9,0,0,18,47.1,0.0,133.0,0.0,0,0,0,0,3,0,0.0,253,14.9,65.9,41,41,6.3,13.5,2.82,0,6,13.6,63.4,26,16,3.7,41,1,0.53,25,85.1,0,0,44,61.0,0.0,113.5,0.0,0,0,0,0,2,1,2.3,416,10.1,86.4,81,81,12.4,4.3,2.17,0,1,1.2,84.0,68,4,2.9,81,2,0.48,30,92.3,0,0,82,69.1,0.0,112.1,0.0,0,0,0,0,5,0,0.0,483,6.0,65.5,145,145,22.2,13.3,2.95,0,14,9.0,60.7,88,62,7.4,145,7,0.62,86,93.4,0,2,155,58.6,0.0,117.8,0.0,0,0,0,0,12,4,2.6,1507,10.4,0,94.1,17,17,2.6,-3.2,2.13,0,0,0.0,88.2,15,1,6.3,17,1,-0.2,7,68.6,0,1,17,47.1,0.0,114.2,0.0,0,0,0,0,2,0,0.0,134,7.9,33.3,24,24,3.7,29.8,2.67,0,8,24.2,29.2,7,9,12.5,24,1,-0.14,7,69.2,0,2,33,29.2,0.0,70.5,0.0,0,0,0,0,3,2,6.1,222,9.3,54.1,37,37,5.7,13.4,3.18,0,3,7.1,48.6,18,19,10.0,37,2,0.41,18,75.9,0,0,42,45.9,0.0,89.4,0.0,0,0,0,0,2,1,2.4,255,6.9,84.9,73,73,11.2,4.0,2.44,0,0,0.0,82.2,60,12,3.2,73,2,0.36,27,86.3,0,0,77,65.8,0.0,113.5,0.0,0,0,0,0,4,0,0.0,500,6.8,87.3,330,330,50.6,4.3,2.3,0,4,1.2,83.0,274,52,4.9,330,14,0.32,119,93.5,0,3,344,66.7,0.0,109.8,0.0,0,0,0,0,19,2,0.6,2199,6.7
C.J. Stroud,129759,QB,HST,19,593,702,92.9,98,98,16.5,-3.6,2.14,0,0,0.0,89.8,88,18,3.3,98,3,-0.18,16,69.5,0,0,100,36.7,0.0,87.2,0.0,0,0,0,0,0,0,0.0,483,4.9,92.6,54,54,9.1,-3.9,1.92,0,0,0.0,88.9,48,6,4.0,54,2,-0.25,8,67.7,0,0,55,31.5,0.0,85.7,0.0,0,0,0,0,0,0,0.0,247,4.6,40.7,27,27,4.6,28.1,3.6,0,5,18.5,37.0,10,11,9.1,27,1,-0.01,10,51.6,0,5,27,37.0,0.0,70.1,0.0,0,0,0,0,2,6,22.2,360,13.3,71.3,80,80,13.5,14.0,2.86,0,3,3.5,67.5,54,22,5.3,80,3,0.81,51,93.4,0,2,86,66.3,0.0,120.8,0.0,0,0,0,0,6,2,2.3,919,11.5,77.0,113,113,19.1,4.9,2.34,0,0,0.0,71.7,81,23,6.9,113,6,0.03,38,78.5,0,3,119,48.7,0.0,82.0,0.0,0,0,0,0,2,2,1.7,687,6.1,0,41.4,70,70,11.8,28.8,3.68,0,18,25.0,35.7,25,28,13.8,70,4,0.06,25,75.9,0,7,72,35.7,0.0,61.8,0.0,0,0,0,0,4,9,12.5,849,12.1,13,95.0,20,20,3.4,-3.4,2.22,0,0,0.0,95.0,19,5,0.0,20,0,0.09,4,65.9,0,0,20,45.0,0.0,90.4,0.0,0,0,0,0,0,0,0.0,114,5.7,52.9,17,17,2.9,31.9,3.74,0,7,38.9,52.9,9,7,0.0,17,0,0.76,9,93.1,0,1,18,52.9,0.0,93.4,0.0,0,0,0,0,1,1,5.6,314,18.5,47.4,19,19,3.2,15.1,3.23,0,0,0.0,42.1,8,9,11.1,19,1,-0.02,8,54.8,0,0,22,42.1,0.0,67.4,0.0,0,0,0,0,0,1,4.5,138,7.3,78.2,55,55,9.3,4.5,2.47,0,0,0.0,72.7,40,7,7.0,55,3,0.23,24,60.4,0,1,57,54.5,0.0,97.7,0.0,0,0,0,0,3,1,1.8,322,5.9,66.0,144,144,24.3,14.4,3.16,0,9,5.7,62.5,90,55,5.3,144,5,0.65,83,92.3,0,2,157,61.8,0.0,109.4,0.0,0,0,0,0,8,5,3.2,1469,10.2,0,91.7,24,24,4.0,-2.8,2.58,0,0,0.0,87.5,21,7,4.5,24,1,-0.24,4,66.7,0,0,25,41.7,0.0,87.8,0.0,0,0,0,0,0,0,0.0,122,5.1,34.6,26,26,4.4,27.4,3.74,0,6,22.2,23.1,6,10,33.3,26,3,-0.31,6,71.7,0,1,27,23.1,0.0,51.9,0.0,0,0,0,0,1,2,7.4,175,6.7,64.4,45,45,7.6,14.7,3.66,0,6,12.2,62.2,28,24,3.4,45,1,0.64,24,89.9,0,0,49,62.2,0.0,106.9,0.0,0,0,0,0,2,2,4.1,412,9.2,74.3,74,74,12.5,4.1,2.78,0,0,0.0,71.6,53,25,3.6,74,2,0.3,25,67.7,0,0,80,52.7,0.0,104.8,0.0,0,0,0,0,4,1,1.3,444,6.0,76.4,242,242,40.8,4.6,2.5,0,0,0.0,71.9,174,55,5.9,242,11,0.16,87,73.6,0,4,256,51.2,0.0,92.5,0.0,0,0,0,0,9,4,1.6,1453,6.0
