passer_name,dropbacks,total_epa,epa_per_dropback
Will Grier,64,-20.788000000000014,-0.3248125000000002
Stefan Logan,1,-0.325,-0.325
Trace McSorley,107,-34.831999999999994,-0.3255327102803738
RJ Harvey,1,-0.328,-0.328
Trent Dilfer,264,-87.56700000000001,-0.33169318181818186
Jamal Agnew,1,-0.334,-0.334
Marion Barber III,1,-0.335,-0.335
Brad Wing,2,-0.6719999999999999,-0.33599999999999997
Ronnie Brown,15,-5.084,-0.3389333333333333
Kalen Ballage,1,-0.341,-0.341
Jake Luton,123,-42.142,-0.3426178861788618
Marion Grice,1,-0.347,-0.347
Anthony Brown Jr.,56,-19.533,-0.34880357142857144
Jake Fromm,73,-25.711999999999996,-0.3522191780821917
Tyler Lockett,1,-0.354,-0.354
Bobby Rainey Jr.,2,-0.7110000000000001,-0.35550000000000004
Dede Westbrook,1,-0.356,-0.356
Bryce Perkins,47,-16.93,-0.3602127659574468
Willie Parker,1,-0.381,-0.381
Sean Mannion,122,-46.59499999999999,-0.38192622950819666
Jason Avant,1,-0.383,-0.383
Tavon Austin,1,-0.384,-0.384
B.J. Daniels,3,-1.1620000000000001,-0.38733333333333336
Maurice Jones-Drew,2,-0.7800000000000002,-0.3900000000000001
Keith Null,138,-54.52899999999999,-0.3951376811594202
Travaris Cadet,1,-0.397,-0.397
Dorian Thompson-Robinson,274,-109.40299999999999,-0.3992810218978102
Chris Simms,144,-57.745999999999995,-0.40101388888888884
Caleb Hanie,175,-71.37300000000002,-0.40784571428571437
Garrett Wilson,2,-0.8200000000000001,-0.41000000000000003
Patrick Ramsey,59,-24.287000000000003,-0.4116440677966102
Brian Westbrook,1,-0.412,-0.412
Jahvid Best,1,-0.414,-0.414
Steven Sims,1,-0.417,-0.417
Connor Cook,76,-31.733,-0.4175394736842105
Jonathan Grimes,1,-0.418,-0.418
Chris Streveler,53,-22.179000000000002,-0.4184716981132076
