"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","PASS GRD","DB","ATT","COMP","COMP%","PASS YDS","PASS YPA","PASS TD","INT","SK","SCR","avgTTT","BP","PBU","BTT","DP","RTG","1D","aComp%","RUSH YDS","YPC","TWP","TWP%","BTT%","ADOT","SS%","PS%","AIR%","ACC%","PLUS%","CAT INAC%","UNC INAC%","ALL-","ALL+"
"","8667","41258","","d4cb52a9-f6b4-42ed-b40b-27bff5f1eea7","Teddy Bridgewater","Buccaneers","10","QB","44","20","16","8","50.0%","62","3.9","0","0","3","1","2.72","0","2","0","0","59.9","3","57.1%","6","6.0","0","0.0%","0.0%","6.4","68.8%","18.8%","16.1%","53.8%","7.7%","15.4%","30.8%","5","1"
"","9434","42344","65024","fb3b36fc-b985-4807-8199-d038d7e62a93","Jameis Winston","Giants","19","QB","66.3","76","72","38","52.8%","572","7.9","2","2","3","1","2.84","1","6","5","2","76.9","29","61.5%","11","11.0","5","6.6%","6.9%","11.0","37.5%","52.8%","63.5%","46.7%","8.3%","31.7%","21.7%","15","23"
"","9435","42345","60958","7c16c04c-04de-41f3-ac16-ad6a9435e3f7","Marcus Mariota","Commanders","08","QB","72.3","285","247","148","59.9%","1807","7.3","10","9","18","19","2.95","4","17","17","8","80.8","97","69.0%","170","8.9","12","4.2%","6.9%","11.0","38.5%","53.0%","64.8%","56.7%","16.1%","19.4%","24.0%","51","87"
"","10635","43290","127679","aba8f925-ffbf-4654-bfa7-a25d3d237494","Jared Goff","Lions","16","QB","76.8","648","597","398","66.7%","4633","7.8","34","8","43","6","2.58","16","23","16","20","103.4","237","78.9%","53","7.6","13","2.0%","2.7%","7.1","52.1%","36.7%","47.1%","66.3%","16.1%","18.1%","15.6%","81","144"
"","10636","43291","67961","e9a5c16b-4472-4be9-8030-3f77be7890cb","Carson Wentz","Vikings","11","QB","50","210","178","114","64.0%","1278","7.2","6","5","21","9","2.70","2","14","3","4","84.9","67","71.1%","57","5.7","8","3.8%","1.7%","8.6","47.2%","46.1%","57.3%","52.5%","17.1%","24.7%","22.8%","39","46"
"","10725","43380","58514","ad2258ab-67f0-41c2-bcf3-f3ba145187dc","Jacoby Brissett","Cardinals","07","QB","68.6","581","511","326","63.8%","3504","6.9","23","8","45","24","2.97","3","40","17","18","92.3","187","73.7%","159","6.6","16","2.8%","3.3%","8.3","52.8%","38.6%","55.3%","60.3%","11.4%","19.9%","19.9%","82","119"
"","10769","43424","50312","86197778-8d4b-4eba-affe-08ef7be7c70b","Dak Prescott","Cowboys","04","QB","85.4","712","649","421","64.9%","4709","7.3","30","11","32","29","2.80","13","59","31","29","94.7","260","73.8%","191","6.6","19","2.7%","4.8%","9.0","49.1%","44.8%","58.0%","61.7%","17.0%","17.7%","20.6%","81","186"
"","10835","43490","64821","a8c3bcd7-69d0-4c5e-a876-6b33857942bc","Brandon Allen","Titans","10","QB","37.1","32","31","18","58.1%","90","2.9","0","1","1","0","2.63","1","2","1","1","49.5","3","65.5%","0","0.0","3","9.4%","3.2%","3.9","61.3%","32.3%","4.4%","50.0%","3.6%","17.9%","32.1%","9","4"
"","11757","44814","108433","7a1b8f1a-9024-4897-86b0-01c63e00305e","Mitch Trubisky","Bills","11","QB","77.7","39","37","26","70.3%","315","8.5","4","0","0","2","2.84","0","3","2","2","132.2","20","77.8%","13","6.5","1","2.6%","5.4%","7.6","43.2%","54.0%","59.1%","54.3%","25.7%","25.7%","20.0%","6","14"
"","11765","44822","163123","11cad59d-90dd-449c-a839-dddaba4fe16c","Patrick Mahomes","Chiefs","15","QB","70.7","636","536","327","61.0%","3681","6.9","22","12","36","59","2.97","10","33","23","25","85.9","218","71.8%","458","7.8","20","3.1%","4.3%","8.7","52.0%","39.4%","47.2%","62.9%","12.4%","17.8%","19.3%","87","152"
"","11890","44948","122781","15bedebc-839e-450a-86f6-1f5ad1f4f820","Joshua Dobbs","Patriots","11","QB","66.5","12","11","7","63.6%","65","5.9","0","0","0","1","3.23","0","0","1","0","79.7","4","63.6%","2","2.0","0","0.0%","9.1%","11.6","54.5%","45.5%","24.6%","45.5%","9.1%","27.3%","27.3%","3","2"
"","12282","45198","126597","7738fea8-7ea2-4c4c-b589-bca90b070819","Nick Mullens","Jaguars","14","QB","71.2","3","3","3","100%","19","6.3","0","0","0","0","1.70","0","0","0","0","93.1","2","100%","0","0.0","0","0.0%","0.0%","1.0","66.7%","33.3%","15.8%","66.7%","0","33.3%","0","0","1"
"","12324","45536","53885","4595c8ea-9d85-4504-8a34-2c8a02349105","Cooper Rush","Ravens","15","QB","59.8","57","54","35","64.8%","320","5.9","0","4","2","1","2.61","0","4","1","2","49.9","14","72.5%","7","7.0","3","5.3%","1.8%","6.7","57.4%","37.0%","50.6%","59.6%","14.9%","21.3%","19.1%","11","12"
"","12659","53884","195933","d7c63db7-dfe8-4cd6-a684-90342d12fa26","Shane Buechele","Chiefs","17","QB","54.2","20","14","7","50.0%","88","6.3","0","0","5","1","3.08","2","0","1","0","69.9","4","63.6%","4","4.0","1","5.0%","7.1%","11.5","50.0%","28.6%","68.2%","50.0%","20.0%","20.0%","30.0%","5","2"
"","13725","47916","174417","582fe465-135a-4901-beef-60aebce99067","Jarrett Stidham","Broncos","08","QB","46.7","37","31","17","54.8%","133","4.3","1","1","3","3","3.15","0","2","1","3","63.0","8","74.1%","15","5.0","2","5.4%","3.2%","6.5","58.1%","29.0%","51.1%","61.5%","11.5%","19.2%","19.2%","7","5"
"","26152","46761","160095","d2023f5b-f73b-43ad-a816-f10dadfdfaed","Kyle Allen","Lions","08","QB","73","2","2","0","0.0%","0","0.0","0","0","0","0","2.25","0","1","0","1","39.6","0","50.0%","0","0.0","0","0.0%","0.0%","6.0","50.0%","50.0%","0.0%","50.0%","0","0","50.0%","0","1"
"","28022","52409","195420","3023ac10-4e7f-425f-9fc5-2b8e6332c92e","Joe Burrow","Bengals","09","QB","91.3","303","272","176","64.7%","1829","6.7","17","5","18","10","2.80","3","25","18","10","97.2","109","72.9%","30","3.0","2","0.7%","6.6%","8.3","48.2%","45.6%","56.7%","68.8%","20.7%","14.8%","16.5%","28","83"
"","28237","52414","194571","f0a8f8e3-b9e9-46ed-85e4-eec6452a8a44","Justin Herbert","Chargers","10","QB","73","691","568","367","64.6%","3977","7.0","26","15","65","57","2.99","9","39","22","26","89.4","222","74.6%","511","9.0","18","2.6%","3.9%","8.7","50.3%","42.4%","57.6%","64.7%","14.7%","16.7%","18.7%","92","168"
"","29048","46072","194671","13d826c5-9b22-4e0a-a877-02d8c84c546b","Sam Darnold","Seahawks","14","QB","79.9","660","600","387","64.5%","4766","7.9","30","15","34","17","2.74","16","33","34","16","95.2","247","74.2%","119","7.0","21","3.2%","5.7%","9.1","49.2%","41.3%","58.3%","66.9%","17.6%","15.7%","17.4%","82","157"
"","38334","47784","174391","dd5a6b6e-ffae-45a5-b8e6-718a9251f374","Kyler Murray","Cardinals","01","QB","69.5","211","174","114","65.5%","1016","5.8","6","3","16","20","2.96","7","10","4","6","85.3","67","75.5%","152","7.6","3","1.4%","2.3%","7.0","56.3%","35.1%","45.6%","68.7%","13.3%","16.7%","14.7%","27","47"
"","39395","47789","195393","0042266b-cb28-4012-bfd2-06650badad97","Daniel Jones","Colts","17","QB","68.7","460","414","274","66.2%","3211","7.8","19","8","23","23","2.74","8","31","13","16","96.8","170","74.9%","151","6.6","18","3.9%","3.1%","8.9","50.5%","43.0%","57.1%","61.8%","19.6%","20.2%","18.0%","62","111"
"","39517","47825","174131","94325301-e0ad-4a9f-a0e5-ffec0f529be3","Drew Lock","Seahawks","02","QB","43.5","3","3","2","66.7%","15","5.0","0","0","0","0","2.67","0","1","0","0","78.5","1","66.7%","0","0.0","1","33.3%","0.0%","1.3","100%","0.0%","-13.3%","33.3%","0","33.3%","33.3%","1","0"
"","40291","52461","194688","64bd0f02-6a5d-407e-98f1-fd02048ea21d","Jalen Hurts","Eagles","01","QB","76.7","602","518","325","62.7%","3529","6.8","26","7","33","44","3.07","6","41","25","17","93.9","192","72.3%","310","7.0","12","2.0%","4.8%","9.5","50.2%","41.1%","60.4%","58.1%","11.0%","21.6%","20.3%","74","136"
"","40306","52434","280290","e5094779-e94f-4052-8597-bdbee3719f6b","Jordan Love","Packers","10","QB","88.7","572","512","324","63.3%","3803","7.4","27","8","25","25","2.83","6","32","30","24","96.8","211","75.3%","194","7.5","15","2.6%","5.9%","9.5","45.5%","44.7%","55.9%","60.9%","15.3%","22.4%","16.7%","64","152"
"","40364","54706","285267","7078cdfc-032b-4f85-8b4b-720f926ba1cb","Chris Oladokun","Chiefs","19","QB","45.4","71","58","36","62.1%","249","4.3","1","0","8","5","3.20","3","2","0","3","77.4","12","76.5%","29","5.8","5","7.0%","0.0%","6.1","60.3%","27.6%","35.3%","61.2%","8.2%","20.4%","18.4%","14","11"
"","41401","47961","300818","dabb52c0-455b-48fe-996b-abf758120623","Gardner Minshew","Chiefs","17","QB","33.6","15","14","6","42.9%","37","2.6","0","1","0","1","2.78","2","0","0","0","20.5","2","60.0%","8","8.0","1","6.7%","0.0%","8.0","42.9%","28.6%","13.5%","40.0%","0","20.0%","40.0%","4","1"
"","46401","48208","174550","f2f29019-7306-4b1c-a9d8-e9f802cb06e0","Jake Browning","Bengals","06","QB","51.5","150","135","84","62.2%","833","6.2","6","8","11","4","2.81","2","13","5","1","69.8","43","67.5%","31","7.8","9","6.0%","3.7%","8.5","56.3%","37.0%","55.7%","54.1%","11.5%","20.5%","25.4%","27","24"
"","46416","46101","173565","e06a9c07-453a-4bb0-a7e9-2c3a64166dad","Lamar Jackson","Ravens","08","QB","69","393","323","199","61.6%","2634","8.2","21","7","39","31","3.17","8","18","9","15","100.0","136","72.0%","221","7.1","12","3.0%","2.8%","10.0","45.2%","46.8%","60.9%","57.6%","15.8%","21.9%","20.5%","73","109"
"","46448","52895","196065","7c226f73-a59f-4db6-ad98-2766d05d4d5a","Tyler Huntley","Ravens","05","QB","68.8","85","70","54","77.1%","438","6.3","2","0","8","7","2.69","1","3","1","2","102.0","26","83.6%","84","12.0","1","1.2%","1.4%","6.1","68.6%","27.1%","63.0%","57.6%","10.6%","25.8%","16.7%","10","20"
"","46487","48090","178698","9ab44516-2a26-4049-b630-66539c7a5dfd","Brett Rypien","Bengals","11","QB","60","1","0","0","0.0%","0","0.0","0","0","1","0","4.10","0","0","0","0","0.0","0","0.0%","0","0.0","0","0.0%","0.0%","0.0","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","46518","46070","109338","30198d30-9769-4e10-ac86-b4c91d940802","Baker Mayfield","Buccaneers","06","QB","64.8","680","588","362","61.6%","3858","6.6","26","12","39","45","2.88","9","48","28","26","87.0","228","70.0%","388","8.6","28","4.1%","4.8%","8.6","49.8%","44.4%","50.0%","56.4%","14.5%","20.9%","22.7%","109","168"
"","46569","46145","167807","be4ca0ad-f3d6-4b98-a37f-79d0cbc06390","Mason Rudolph","Steelers","02","QB","50.5","61","56","40","71.4%","342","6.1","2","2","2","2","2.71","2","1","0","0","84.1","22","78.4%","25","12.5","4","6.6%","0.0%","6.1","62.5%","28.6%","26.9%","65.3%","6.1%","18.4%","16.3%","10","8"
"","46601","46076","173838","3069db07-aa43-4503-ab11-2ae5c0002721","Josh Allen","Bills","17","QB","84","677","564","380","67.4%","4247","7.5","29","13","46","62","3.02","6","38","29","28","97.1","247","76.0%","527","8.5","16","2.4%","5.1%","7.8","55.5%","39.7%","47.1%","66.1%","12.6%","18.2%","15.7%","86","172"
"","52269","53496","308643","7d51fab7-2d52-4d19-a021-19a123af0d10","Davis Mills","Texans","10","QB","67.6","183","166","94","56.6%","931","5.6","5","2","9","8","2.56","1","21","7","10","77.7","54","67.1%","65","8.1","8","4.4%","4.2%","9.0","46.4%","47.0%","71.6%","58.9%","26.7%","16.4%","24.7%","31","47"
"","60323","53444","305253","1fd00ec3-b758-46d2-a2c1-cca521ea8a54","Mac Jones","49ers","10","QB","75.4","334","305","205","67.2%","2164","7.1","13","7","17","10","2.66","7","18","8","12","92.3","114","77.5%","65","6.5","10","3.0%","2.6%","7.8","53.8%","38.0%","56.0%","65.9%","22.9%","17.2%","16.9%","33","77"
"","60326","52413","281476","26ad9c27-de38-495e-913c-6fb2428e76d3","Tua Tagovailoa","Dolphins","01","QB","65.8","465","409","274","67.0%","2845","7.0","20","16","30","12","2.56","4","24","18","19","86.9","150","75.9%","46","3.5","25","5.4%","4.4%","7.3","52.8%","41.6%","49.5%","63.3%","20.1%","18.8%","18.0%","73","108"
"","60341","54551","283929","55aefcf9-4dfb-4994-883f-4d537a6f1ddb","Malik Willis","Packers","02","QB","90.8","49","36","30","83.3%","422","11.7","3","0","3","10","3.39","0","1","3","2","143.3","25","94.1%","73","7.3","0","0.0%","8.3%","9.7","47.2%","47.2%","71.8%","70.6%","20.6%","23.5%","5.9%","2","19"
"","60515","54485","288007","ef7ae1f1-4ebe-4759-bbb3-32bd177ace08","Kenny Pickett","Raiders","15","QB","47.3","58","46","28","60.9%","188","4.1","1","2","8","4","2.86","1","3","1","4","59.0","13","74.4%","32","8.0","3","5.2%","2.2%","6.1","67.4%","26.1%","65.4%","53.7%","14.6%","29.3%","17.1%","8","11"
"","60516","56000","337587","5891a917-9071-4bc2-a652-7f702c44cbd2","Aidan O'Connell","Raiders","12","QB","66.9","25","23","10","43.5%","102","4.4","0","0","1","1","2.59","0","2","1","1","56.8","6","57.9%","7","7.0","0","0.0%","4.3%","9.3","34.8%","47.8%","64.7%","38.9%","11.1%","27.8%","33.3%","4","6"
"","77632","53430","305332","aaa8b42c-4d87-45f6-bfd2-e31cfed9a736","Trevor Lawrence","Jaguars","16","QB","80.5","725","629","374","59.5%","4404","7.0","32","16","42","48","2.92","20","48","30","42","87.2","254","71.9%","354","7.4","24","3.3%","4.8%","9.6","45.8%","46.3%","60.0%","59.4%","18.8%","20.6%","20.0%","96","197"
"","77652","56004","311714","b2810d1e-3ea7-4907-bb34-93b40e893c08","Clayton Tune","Packers","06","QB","29.5","23","16","7","43.8%","42","2.6","0","1","5","2","3.03","1","2","0","2","25.0","4","64.3%","17","8.5","1","4.3%","0.0%","3.6","81.3%","6.3%","30.9%","42.9%","0","28.6%","28.6%","6","1"
"","77672","54727","311703","d5aef708-ad61-4ab8-a637-62ff96e92040","Brock Purdy","49ers","13","QB","82.6","404","360","234","65.0%","2592","7.2","22","14","16","25","3.25","3","22","15","15","90.4","172","76.4%","178","7.1","15","3.7%","4.2%","8.0","46.9%","43.6%","60.4%","57.1%","13.9%","24.0%","18.9%","46","113"
"","82096","53431","311503","17bb63b1-1b0e-48e1-baf7-55cd314d0e62","Zach Wilson","Dolphins","00","QB","49.1","12","11","6","54.5%","32","2.9","0","0","0","1","2.34","1","0","0","0","60.0","3","75.0%","3","3.0","0","0.0%","0.0%","5.6","36.4%","36.4%","28.1%","25.0%","0","37.5%","37.5%","2","1"
"","82118","53440","304384","cf15be8f-9117-4531-a517-2b9c7cb3e9e1","Justin Fields","Jets","07","QB","65.5","276","217","136","62.7%","1300","6.0","7","1","28","30","3.12","10","17","6","9","88.1","73","76.3%","247","8.2","7","2.5%","2.8%","7.2","55.8%","31.8%","54.5%","58.9%","13.0%","23.2%","17.8%","37","56"
"","82134","57129","304509","6499a161-b221-4591-b122-d99ece1be64b","Michael Penix Jr.","Falcons","09","QB","58","325","295","171","58.0%","2026","6.9","9","3","16","13","2.84","3","17","8","10","84.9","119","68.8%","77","5.9","11","3.4%","2.7%","9.2","42.4%","46.8%","55.9%","52.0%","20.1%","23.8%","24.2%","61","82"
"","82151","57313","313960","74043480-24ef-4c26-99d4-18f43d5b41d3","Joe Milton III","Cowboys","10","QB","52.7","30","27","16","59.3%","221","8.2","1","2","0","3","3.11","1","0","1","0","67.1","10","66.7%","22","7.3","2","6.7%","3.7%","12.1","37.0%","51.8%","52.0%","52.4%","14.3%","19.1%","28.6%","7","6"
"","83537","58245","306357","94b8f9e1-3109-4429-8f71-4f79d7588237","Tyler Shough","Saints","06","QB","73.1","397","341","229","67.2%","2448","7.2","10","7","32","24","2.72","6","19","13","13","89.2","121","75.6%","144","6.0","8","2.0%","3.8%","8.7","52.8%","41.1%","57.2%","57.5%","12.4%","23.9%","18.6%","59","90"
"","86272","58299","325997","299d4fe8-188c-43d1-95d3-8a8f103da5c5","Dillon Gabriel","Browns","08","QB","49.6","232","198","111","56.1%","959","4.8","7","3","20","12","2.76","4","15","3","9","74.5","60","65.9%","92","7.7","10","4.3%","1.5%","6.6","61.6%","30.3%","47.9%","56.1%","19.9%","19.3%","24.6%","39","34"
"","91399","53432","308211","676a508c-c65f-404a-a2b0-f861a4bfd072","Trey Lance","Chargers","05","QB","31.3","72","59","29","49.1%","234","4.0","0","1","6","7","2.77","0","7","1","2","52.5","13","62.0%","75","10.7","4","5.6%","1.7%","9.6","47.5%","37.3%","52.6%","56.3%","8.3%","14.6%","29.2%","17","10"
"","97408","57271","330662","e0eecf78-86b2-4ee8-8ac9-d7713a138765","Spencer Rattler","Saints","02","QB","66.1","314","275","179","65.1%","1625","5.9","8","8","19","18","2.68","2","27","11","9","78.5","101","73.2%","132","7.3","17","5.4%","4.0%","8.9","52.4%","41.1%","60.5%","60.9%","14.9%","21.0%","18.1%","42","70"
"","97790","57133","325262","f056c8ed-6ee5-492c-af11-3f7e3d97195c","Bo Nix","Broncos","10","QB","76.1","771","696","431","61.9%","4362","6.3","28","12","24","39","2.85","16","38","35","41","86.0","242","74.5%","326","8.4","22","2.9%","5.0%","8.1","52.9%","38.2%","50.1%","61.4%","13.4%","19.7%","18.9%","111","168"
"","97993","57123","324806","bab8c65a-9fff-410d-8e34-dc2f636d890e","Jayden Daniels","Commanders","05","QB","73.8","266","206","122","59.2%","1327","6.4","8","3","19","41","3.07","5","13","10","15","85.2","82","74.1%","257","6.3","8","3.0%","4.9%","8.2","48.5%","41.3%","54.9%","57.7%","12.0%","24.0%","18.3%","36","74"
"","100580","57697","324989","4842ee80-07d1-11ef-977b-d7c6de486031","Kedon Slovis","Cardinals","19","QB","58.7","2","2","1","50.0%","-2","-1.0","0","0","0","0","2.25","0","0","0","1","56.3","0","100%","0","0.0","0","0.0%","0.0%","1.5","50.0%","50.0%","100%","0","0","100%","0","0","0"
"","105568","58939","328261","921d4a00-230f-11f0-8931-09b8041f90bf","Max Brosmer","Vikings","12","QB","27.4","93","76","48","63.2%","334","4.4","0","4","15","2","2.76","0","3","2","4","51.1","25","74.3%","16","8.0","6","6.5%","2.6%","4.6","65.8%","26.3%","23.4%","38.8%","11.9%","41.8%","19.4%","18","9"
"","123943","55865","349221","38475bfa-9773-4c3b-9157-a0dbd576fa22","Bryce Young","Panthers","09","QB","68.2","626","552","333","60.3%","3391","6.1","24","14","31","39","2.87","10","26","25","25","81.9","205","73.7%","270","6.8","17","2.7%","4.5%","7.6","47.6%","40.4%","51.6%","58.6%","13.4%","23.5%","17.9%","89","145"
"","124199","58839","351743","4916c770-2501-11f0-aed8-c154e65d4269","Brady Cook","Jets","04","QB","32.7","184","157","89","56.7%","741","4.7","2","7","20","7","2.70","5","13","1","11","54.7","38","68.5%","44","6.3","13","7.1%","0.6%","6.0","59.9%","33.1%","43.5%","44.6%","9.3%","29.5%","25.9%","39","23"
"","124393","55868","350675","5fc5b4a6-a583-4345-a810-4f982204ea5e","Anthony Richardson","Colts","05","QB","65.9","2","2","1","50.0%","9","4.5","0","0","0","0","2.00","0","0","0","0","62.5","1","50.0%","0","0.0","0","0.0%","0.0%","18.5","0.0%","100%","22.2%","0","0","0","0","1","1"
"","127253","58436","359811","d89f0384-21a6-44e4-8aa6-324cb2103bf6","Quinn Ewers","Dolphins","14","QB","40.5","101","86","57","66.3%","681","7.9","3","3","8","3","2.55","1","11","2","1","87.4","32","69.9%","21","5.3","5","5.0%","2.3%","8.7","53.5%","43.0%","39.1%","55.6%","19.8%","21.0%","23.5%","20","15"
"","129759","55866","351465","7e91086f-9ca4-4bd9-a099-b88b2f37e6c6","C.J. Stroud","Texans","07","QB","62","604","539","325","60.3%","3661","6.8","21","13","36","29","2.85","9","39","18","9","83.6","195","68.2%","210","7.2","23","3.8%","3.3%","9.0","49.2%","41.7%","57.5%","60.0%","19.1%","16.9%","23.2%","99","137"
"","131396","58349","353410","270e09bc-8bf8-44b0-87ed-1fd014de4ab7","Shedeur Sanders","Browns","12","QB","42.3","265","220","124","56.4%","1419","6.5","7","10","24","19","3.33","4","17","10","7","67.6","68","69.7%","172","9.1","15","5.7%","4.5%","7.6","55.9%","29.5%","39.9%","62.7%","11.3%","17.0%","20.3%","44","43"
"","131770","56053","351136","93147c90-09c8-471d-a6b2-0b9d19739ba1","Tanner McKee","Eagles","16","QB","60.7","50","44","24","54.5%","274","6.2","1","1","3","3","3.01","0","2","0","2","71.6","17","72.2%","12","4.0","1","2.0%","0.0%","9.7","36.4%","45.5%","61.3%","57.1%","0","14.3%","28.6%","7","12"
"","133244","58203","353734","3c76cab3-3df2-43dd-acaa-57e055bd32d0","Cam Ward","Titans","01","QB","56.4","662","575","341","59.3%","3299","5.7","15","7","57","26","2.98","9","35","21","20","79.0","182","69.8%","171","6.6","23","3.5%","3.6%","7.8","52.5%","37.4%","49.3%","59.4%","12.2%","18.6%","22.0%","111","124"
"","143862","58394","365938","38b62d7f-4403-4e2b-8083-4d0cd08e81aa","Riley Leonard","Colts","15","QB","61.8","79","73","41","56.2%","452","6.2","2","3","2","3","2.74","1","9","6","3","66.7","24","64.7%","26","8.7","6","7.6%","8.2%","9.9","45.2%","47.9%","63.5%","61.9%","15.9%","14.3%","23.8%","12","20"
"","143969","57124","362390","d0c0630e-8925-4b81-a32b-e4146d95f01f","Drake Maye","Patriots","10","QB","76.6","797","649","439","67.6%","5450","8.4","37","12","71","76","3.11","8","36","32","18","104.7","295","75.3%","597","7.9","26","3.3%","4.9%","10.0","46.1%","47.5%","60.2%","61.6%","19.4%","20.2%","18.1%","108","224"
"","144622","57122","362088","49d4b627-3f19-49a8-ae33-f539e0fb1f88","Caleb Williams","Bears","18","QB","72.2","780","691","390","56.4%","4653","6.7","31","14","29","55","3.26","18","52","37","35","83.7","262","68.3%","482","8.8","24","3.1%","5.3%","9.2","46.3%","43.7%","55.1%","56.2%","15.0%","19.4%","24.4%","132","206"
"","144918","57131","361859","587cc3c3-aeda-4ac7-8803-a7e4db195534","J.J. McCarthy","Vikings","09","QB","60.1","310","261","145","55.6%","1660","6.4","11","14","27","18","3.03","12","16","19","17","66.6","101","68.6%","161","8.9","15","4.8%","7.3%","9.7","43.3%","47.1%","58.4%","51.8%","13.5%","26.1%","22.1%","54","77"
"","146409","58227","361994","53848cba-bcad-4cd0-bb35-0a1f6ed111d1","Jaxson Dart","Giants","06","QB","64.2","447","366","225","61.5%","2448","6.7","15","5","40","40","3.08","8","31","19","18","89.2","144","71.7%","332","8.3","15","3.4%","5.2%","9.3","50.8%","41.8%","48.7%","58.7%","11.1%","21.9%","19.4%","69","98"
"","169628","56167","303987","9bdeb910-ead2-11ed-999e-03b49558b5db","Tyson Bagent","Bears","17","QB","62.3","5","4","3","75.0%","47","11.8","0","0","0","1","3.40","0","0","0","0","113.5","2","75.0%","7","7.0","0","0.0%","0.0%","7.8","50.0%","50.0%","19.1%","50.0%","0","25.0%","25.0%","1","1"
