"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","Snaps","ALL-","-2 GRD","-1.5 GRD","-1 GRD","-0.5 GRD","0 GRD","0.5 GRD","1 GRD","1.5 GRD","2 GRD","ALL+","-2% GRD","-1.5% GRD","-1% GRD","-0.5% GRD","0% GRD","0.5% GRD","1% GRD","1.5% GRD","2% GRD"
"","38334","47784","174391","dd5a6b6e-ffae-45a5-b8e6-718a9251f374","Kyler Murray","Cardinals","01","QB","211","27","0","1","2","24","142","42","5","0","0","47","0.0%","0.5%","0.9%","11.4%","67.3%","19.9%","2.4%","0.0%","0.0%"
"","39395","47789","195393","0042266b-cb28-4012-bfd2-06650badad97","Daniel Jones","Colts","17","QB","461","62","1","13","4","44","301","97","14","0","0","111","0.2%","2.8%","0.9%","9.5%","65.3%","21.0%","3.0%","0.0%","0.0%"
"","39517","47825","174131","94325301-e0ad-4a9f-a0e5-ffec0f529be3","Drew Lock","Seahawks","02","QB","3","1","0","0","1","0","2","0","0","0","0","0","0.0%","0.0%","33.3%","0.0%","66.7%","0.0%","0.0%","0.0%","0.0%"
"","40291","52461","194688","64bd0f02-6a5d-407e-98f1-fd02048ea21d","Jalen Hurts","Eagles","01","QB","602","74","3","2","7","63","409","110","25","1","0","136","0.5%","0.3%","1.2%","10.5%","67.9%","18.3%","4.2%","0.2%","0.0%"
"","40306","52434","280290","e5094779-e94f-4052-8597-bdbee3719f6b","Jordan Love","Packers","10","QB","572","64","4","2","9","49","373","121","28","3","0","152","0.7%","0.4%","1.6%","8.6%","65.2%","21.1%","4.9%","0.5%","0.0%"
"","40364","54706","285267","7078cdfc-032b-4f85-8b4b-720f926ba1cb","Chris Oladokun","Chiefs","19","QB","71","14","0","2","3","9","52","11","0","0","0","11","0.0%","2.8%","4.2%","12.7%","73.2%","15.5%","0.0%","0.0%","0.0%"
"","41401","47961","300818","dabb52c0-455b-48fe-996b-abf758120623","Gardner Minshew","Chiefs","17","QB","15","4","0","1","0","3","10","1","0","0","0","1","0.0%","6.7%","0.0%","20.0%","66.7%","6.7%","0.0%","0.0%","0.0%"
"","46401","48208","174550","f2f29019-7306-4b1c-a9d8-e9f802cb06e0","Jake Browning","Bengals","06","QB","150","27","0","3","6","18","100","19","5","0","0","24","0.0%","2.0%","4.0%","12.0%","66.7%","12.7%","3.3%","0.0%","0.0%"
"","46416","46101","173565","e06a9c07-453a-4bb0-a7e9-2c3a64166dad","Lamar Jackson","Ravens","08","QB","394","73","2","4","6","62","230","99","8","2","0","109","0.5%","1.0%","1.5%","15.7%","58.4%","25.1%","2.0%","0.5%","0.0%"
"","46448","52895","196065","7c226f73-a59f-4db6-ad98-2766d05d4d5a","Tyler Huntley","Ravens","05","QB","85","10","0","1","0","9","56","19","1","0","0","20","0.0%","1.2%","0.0%","10.6%","65.9%","22.4%","1.2%","0.0%","0.0%"
"","46487","48090","178698","9ab44516-2a26-4049-b630-66539c7a5dfd","Brett Rypien","Bengals","11","QB","1","0","0","0","0","0","1","0","0","0","0","0","0.0%","0.0%","0.0%","0.0%","100%","0.0%","0.0%","0.0%","0.0%"
"","46518","46070","109338","30198d30-9769-4e10-ac86-b4c91d940802","Baker Mayfield","Buccaneers","06","QB","681","109","2","14","12","81","422","138","29","1","0","168","0.3%","2.1%","1.8%","11.9%","62.0%","20.3%","4.3%","0.1%","0.0%"
"","46569","46145","167807","be4ca0ad-f3d6-4b98-a37f-79d0cbc06390","Mason Rudolph","Steelers","02","QB","61","10","0","1","3","6","43","8","0","0","0","8","0.0%","1.6%","4.9%","9.8%","70.5%","13.1%","0.0%","0.0%","0.0%"
"","46601","46076","173838","3069db07-aa43-4503-ab11-2ae5c0002721","Josh Allen","Bills","17","QB","677","86","3","2","11","71","433","139","33","0","0","172","0.4%","0.3%","1.6%","10.5%","64.0%","20.5%","4.9%","0.0%","0.0%"
"","52269","53496","308643","7d51fab7-2d52-4d19-a021-19a123af0d10","Davis Mills","Texans","10","QB","184","31","1","1","6","23","110","39","8","0","0","47","0.5%","0.5%","3.3%","12.5%","59.8%","21.2%","4.3%","0.0%","0.0%"
"","60323","53444","305253","1fd00ec3-b758-46d2-a2c1-cca521ea8a54","Mac Jones","49ers","10","QB","334","33","0","4","6","23","228","69","8","0","0","77","0.0%","1.2%","1.8%","6.9%","68.3%","20.7%","2.4%","0.0%","0.0%"
"","60326","52413","281476","26ad9c27-de38-495e-913c-6fb2428e76d3","Tua Tagovailoa","Dolphins","01","QB","466","73","3","10","12","48","293","90","18","0","0","108","0.6%","2.1%","2.6%","10.3%","62.9%","19.3%","3.9%","0.0%","0.0%"
"","60341","54551","283929","55aefcf9-4dfb-4994-883f-4d537a6f1ddb","Malik Willis","Packers","02","QB","49","2","0","0","0","2","29","15","4","0","0","19","0.0%","0.0%","0.0%","4.1%","59.2%","30.6%","8.2%","0.0%","0.0%"
"","60515","54485","288007","ef7ae1f1-4ebe-4759-bbb3-32bd177ace08","Kenny Pickett","Raiders","15","QB","58","8","0","3","0","5","40","10","1","0","0","11","0.0%","5.2%","0.0%","8.6%","69.0%","17.2%","1.7%","0.0%","0.0%"
"","60516","56000","337587","5891a917-9071-4bc2-a652-7f702c44cbd2","Aidan O'Connell","Raiders","12","QB","25","4","0","0","0","4","15","5","1","0","0","6","0.0%","0.0%","0.0%","16.0%","60.0%","20.0%","4.0%","0.0%","0.0%"
"","77632","53430","305332","aaa8b42c-4d87-45f6-bfd2-e31cfed9a736","Trevor Lawrence","Jaguars","16","QB","725","96","0","7","17","72","448","166","31","0","0","197","0.0%","1.0%","2.3%","9.9%","61.8%","22.9%","4.3%","0.0%","0.0%"
"","77652","56004","311714","b2810d1e-3ea7-4907-bb34-93b40e893c08","Clayton Tune","Packers","06","QB","23","6","0","1","0","5","17","1","0","0","0","1","0.0%","4.3%","0.0%","21.7%","73.9%","4.3%","0.0%","0.0%","0.0%"
"","77672","54727","311703","d5aef708-ad61-4ab8-a637-62ff96e92040","Brock Purdy","49ers","13","QB","406","46","0","5","10","31","259","97","16","0","0","113","0.0%","1.2%","2.5%","7.6%","63.8%","23.9%","3.9%","0.0%","0.0%"
"","82096","53431","311503","17bb63b1-1b0e-48e1-baf7-55cd314d0e62","Zach Wilson","Dolphins","00","QB","12","2","0","0","0","2","10","1","0","0","0","1","0.0%","0.0%","0.0%","16.7%","83.3%","8.3%","0.0%","0.0%","0.0%"
"","82118","53440","304384","cf15be8f-9117-4531-a517-2b9c7cb3e9e1","Justin Fields","Jets","07","QB","278","37","0","4","3","30","190","48","7","1","0","56","0.0%","1.4%","1.1%","10.8%","68.3%","17.3%","2.5%","0.4%","0.0%"
"","82134","57129","304509","6499a161-b221-4591-b122-d99ece1be64b","Michael Penix Jr.","Falcons","09","QB","325","61","4","4","3","51","192","74","8","0","0","82","1.2%","1.2%","0.9%","15.7%","59.1%","22.8%","2.5%","0.0%","0.0%"
"","82151","57313","313960","74043480-24ef-4c26-99d4-18f43d5b41d3","Joe Milton III","Cowboys","10","QB","30","7","0","2","0","5","19","5","1","0","0","6","0.0%","6.7%","0.0%","16.7%","63.3%","16.7%","3.3%","0.0%","0.0%"
"","83537","58245","306357","94b8f9e1-3109-4429-8f71-4f79d7588237","Tyler Shough","Saints","06","QB","398","59","1","3","4","51","254","76","14","0","0","90","0.3%","0.8%","1.0%","12.8%","63.8%","19.1%","3.5%","0.0%","0.0%"
"","86272","58299","325997","299d4fe8-188c-43d1-95d3-8a8f103da5c5","Dillon Gabriel","Browns","08","QB","233","39","1","0","9","29","167","31","3","0","0","34","0.4%","0.0%","3.9%","12.4%","71.7%","13.3%","1.3%","0.0%","0.0%"
"","91399","53432","308211","676a508c-c65f-404a-a2b0-f861a4bfd072","Trey Lance","Chargers","05","QB","72","17","1","1","2","13","47","9","1","0","0","10","1.4%","1.4%","2.8%","18.1%","65.3%","12.5%","1.4%","0.0%","0.0%"
"","97408","57271","330662","e0eecf78-86b2-4ee8-8ac9-d7713a138765","Spencer Rattler","Saints","02","QB","316","42","0","8","9","25","211","59","11","0","0","70","0.0%","2.5%","2.9%","7.9%","66.8%","18.7%","3.5%","0.0%","0.0%"
"","97790","57133","325262","f056c8ed-6ee5-492c-af11-3f7e3d97195c","Bo Nix","Broncos","10","QB","773","111","1","8","13","91","511","133","35","0","0","168","0.1%","1.0%","1.7%","11.8%","66.1%","17.2%","4.5%","0.0%","0.0%"
"","97993","57123","324806","bab8c65a-9fff-410d-8e34-dc2f636d890e","Jayden Daniels","Commanders","05","QB","266","36","0","2","6","28","163","64","10","0","0","74","0.0%","0.8%","2.3%","10.5%","61.3%","24.1%","3.8%","0.0%","0.0%"
"","100580","57697","324989","4842ee80-07d1-11ef-977b-d7c6de486031","Kedon Slovis","Cardinals","19","QB","2","0","0","0","0","0","2","0","0","0","0","0","0.0%","0.0%","0.0%","0.0%","100%","0.0%","0.0%","0.0%","0.0%"
"","105568","58939","328261","921d4a00-230f-11f0-8931-09b8041f90bf","Max Brosmer","Vikings","12","QB","93","18","2","4","1","12","69","7","2","0","0","9","2.1%","4.3%","1.1%","12.9%","74.2%","7.5%","2.1%","0.0%","0.0%"
"","123943","55865","349221","38475bfa-9773-4c3b-9157-a0dbd576fa22","Bryce Young","Panthers","09","QB","626","89","3","11","3","72","403","119","26","0","0","145","0.5%","1.8%","0.5%","11.5%","64.4%","19.0%","4.2%","0.0%","0.0%"
"","124199","58839","351743","4916c770-2501-11f0-aed8-c154e65d4269","Brady Cook","Jets","04","QB","184","39","1","5","7","26","123","22","1","0","0","23","0.5%","2.7%","3.8%","14.1%","66.8%","12.0%","0.5%","0.0%","0.0%"
"","124393","55868","350675","5fc5b4a6-a583-4345-a810-4f982204ea5e","Anthony Richardson","Colts","05","QB","2","1","0","0","0","1","0","1","0","0","0","1","0.0%","0.0%","0.0%","50.0%","0.0%","50.0%","0.0%","0.0%","0.0%"
"","127253","58436","359811","d89f0384-21a6-44e4-8aa6-324cb2103bf6","Quinn Ewers","Dolphins","14","QB","101","20","0","3","3","14","70","13","2","0","0","15","0.0%","3.0%","3.0%","13.9%","69.3%","12.9%","2.0%","0.0%","0.0%"
"","129759","55866","351465","7e91086f-9ca4-4bd9-a099-b88b2f37e6c6","C.J. Stroud","Texans","07","QB","604","99","4","11","8","77","380","118","19","0","0","137","0.7%","1.8%","1.3%","12.8%","62.9%","19.5%","3.1%","0.0%","0.0%"
"","131396","58349","353410","270e09bc-8bf8-44b0-87ed-1fd014de4ab7","Shedeur Sanders","Browns","12","QB","265","44","3","9","3","29","189","32","9","2","0","43","1.1%","3.4%","1.1%","10.9%","71.3%","12.1%","3.4%","0.8%","0.0%"
"","131770","56053","351136","93147c90-09c8-471d-a6b2-0b9d19739ba1","Tanner McKee","Eagles","16","QB","50","7","0","1","0","6","32","12","0","0","0","12","0.0%","2.0%","0.0%","12.0%","64.0%","24.0%","0.0%","0.0%","0.0%"
"","133244","58203","353734","3c76cab3-3df2-43dd-acaa-57e055bd32d0","Cam Ward","Titans","01","QB","662","111","6","9","8","89","448","102","20","2","0","124","0.9%","1.4%","1.2%","13.4%","67.7%","15.4%","3.0%","0.3%","0.0%"
"","143862","58394","365938","38b62d7f-4403-4e2b-8083-4d0cd08e81aa","Riley Leonard","Colts","15","QB","79","12","0","3","3","6","49","14","6","0","0","20","0.0%","3.8%","3.8%","7.6%","62.0%","17.7%","7.6%","0.0%","0.0%"
"","143969","57124","362390","d0c0630e-8925-4b81-a32b-e4146d95f01f","Drake Maye","Patriots","10","QB","798","108","3","15","8","83","482","188","36","0","0","224","0.4%","1.9%","1.0%","10.4%","60.4%","23.6%","4.5%","0.0%","0.0%"
"","144622","57122","362088","49d4b627-3f19-49a8-ae33-f539e0fb1f88","Caleb Williams","Bears","18","QB","785","132","2","11","12","108","468","168","36","2","1","207","0.3%","1.4%","1.5%","13.8%","59.6%","21.4%","4.6%","0.3%","0.1%"
"","144918","57131","361859","587cc3c3-aeda-4ac7-8803-a7e4db195534","J.J. McCarthy","Vikings","09","QB","311","54","2","8","6","39","187","57","20","0","0","77","0.6%","2.6%","1.9%","12.5%","60.1%","18.3%","6.4%","0.0%","0.0%"
"","146409","58227","361994","53848cba-bcad-4cd0-bb35-0a1f6ed111d1","Jaxson Dart","Giants","06","QB","449","69","1","4","10","55","299","77","21","0","0","98","0.2%","0.9%","2.2%","12.3%","66.6%","17.2%","4.7%","0.0%","0.0%"
"","169628","56167","303987","9bdeb910-ead2-11ed-999e-03b49558b5db","Tyson Bagent","Bears","17","QB","5","1","0","0","0","1","3","1","0","0","0","1","0.0%","0.0%","0.0%","20.0%","60.0%","20.0%","0.0%","0.0%","0.0%"
