player,player_id,Season,,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Bryce Young,123943,2024,1,CAR,14,71.6,348,384,9,2.94,2,27,6.6,60.9,234,0,172,6,450,15,-0.1,132,5,62.6,74.4,75.1,59.5,2,9,477,9,41.3,16.9,82.2,6.4,29,37,0,32,15,12,2.5,2403,6.3
Russell Wilson,7077,2024,1,PIT,12,78.6,318,365,8.4,2.84,10,24,6.3,64.1,234,1,160,6.4,426,16,0.01,131,25,57,79.5,77.5,68.7,3,5,444,3,43.7,23.1,97.7,8.7,37,22,2,32,18,7,1.6,2752,7.5
Daniel Jones,39395,2024,1,MIN,10,77.7,309,341,7.5,2.71,5,7,1.9,63.3,216,0,145,10,389,24,-0.12,110,18,80.1,72,67.5,79,3,7,418,5,42.9,20,79.4,7.5,29,16,4,20,8,9,2.2,2070,6.1
Drake Maye,143969,2024,1,NE,13,74.6,311,338,7.4,2.82,4,14,3.7,66.6,225,0,158,3,422,7,-0.03,132,19,48.6,70.1,64.9,82.9,5,10,461,2,47.2,21.5,88.1,8.1,34,45,1,17,15,16,3.5,2276,6.7
Cooper Rush,12324,2024,1,DAL,11,70.5,285,308,7.5,2.35,13,8,2.4,60.7,187,0,75,7,326,14,-0.16,92,9,26,52.9,59.8,24,2,5,352,0,40.8,17.3,83.8,4,13,4,1,7,12,12,3.4,1844,6
Gardner Minshew,41401,2024,1,LV,10,76.8,271,306,6.2,2.63,9,5,1.5,66.3,203,0,121,2.4,346,5,-0.16,110,23,47.7,60.7,61.7,46.1,2,10,370,1,43.6,24,81,8.4,29,11,3,21,9,9,2.4,2013,6.6
Will Levis,83542,2024,1,TEN,12,73.4,278,301,9.1,2.74,3,15,4.7,63.1,190,0,135,6.9,362,14,-0.21,95,31,30.1,54.9,54.6,58.2,6,12,384,5,38.7,30.4,81.4,11.3,41,20,0,14,13,17,4.4,2091,6.9
Jameis Winston,9434,2024,1,CLV,9,70.7,273,296,9.7,2.67,10,11,3.5,61.1,181,1,103,6.2,329,12,-0.1,108,8,83.5,73.4,69.5,84.3,4,12,347,5,45.3,23.3,80.6,7.3,24,8,1,8,13,18,5.2,2121,7.2
Dak Prescott,10769,2024,1,DAL,8,72.4,268,286,8.3,2.63,6,14,4.5,64.7,185,0,98,4.6,317,9,-0.08,88,9,56,67.9,67.2,59.6,4,8,344,3,44.5,21.4,86,6.6,21,6,2,6,11,16,4.7,1978,6.9
Trevor Lawrence,77632,2024,1,JAX,10,70,270,284,9.9,2.63,2,13,4.4,60.6,172,0,90,9,317,17,-0.04,103,15,70.7,76.8,73.8,75.6,1,7,332,1,44.2,20,85.2,5.7,18,13,1,10,11,13,3.9,2045,7.2
Derek Carr,8671,2024,1,NO,10,78.7,253,279,8.6,2.64,3,16,5.4,67.7,189,0,94,5,300,10,0.11,94,20,60.6,85.6,86.7,48.6,3,5,319,4,45,8.5,101,2.7,8,8,0,20,15,8,2.5,2145,7.7
