player,player_id,Included in rank?,Dropbacks,Shotgun,Pistol,Under center,Shotgun %,Pistol %,Under center %
Kenny Pickett,60515,0,58,47,3,8,0.81034482758620685,5.1724137931034482E-2,0.13793103448275862
Tanner McKee,131770,0,50,42,1,7,0.84,0.02,0.14000000000000001
Andy Dalton,6187,0,50,42,2,6,0.84,0.04,0.12
Malik Willis,60341,0,49,33,1,15,0.67346938775510201,2.0408163265306121E-2,0.30612244897959184
Mitch Trubisky,11757,0,39,21,0,18,0.53846153846153844,0,0.46153846153846156
Jarrett Stidham,13725,0,37,33,0,4,0.89189189189189189,0,0.10810810810810811
Brandon Allen,10835,0,32,27,0,5,0.84375,0,0.15625
Joe Milton III,82151,0,30,25,1,4,0.83333333333333337,3.3333333333333333E-2,0.13333333333333333
Aidan O'Connell,60516,0,25,19,0,6,0.76,0,0.24
Teddy Bridgewater,8667,0,20,20,0,0,1,0,0
Clayton Tune,77652,0,23,16,1,6,0.69565217391304346,4.3478260869565216E-2,0.2608695652173913
Shane Buechele,12659,0,20,15,1,4,0.75,0.05,0.2
Gardner Minshew,41401,0,15,15,0,0,1,0,0
Zach Wilson,82096,0,12,12,0,0,1,0,0
Joshua Dobbs,11890,0,12,9,0,3,0.75,0,0.25
Taysom Hill,12112,0,6,6,0,0,1,0,0
Tyson Bagent,169628,0,5,3,0,2,0.6,0,0.4
Nick Mullens,12282,0,3,3,0,0,1,0,0
Drew Lock,39517,0,3,1,0,2,0.33333333333333331,0,0.66666666666666663
Anthony Richardson,124393,0,2,2,0,0,1,0,0
Kedon Slovis,100580,0,2,2,0,0,1,0,0
David Montgomery,45719,0,5,3,1,1,0.6,0.2,0.2
Kyle Allen,26152,0,2,1,0,1,0.5,0,0.5
Gunner Olszewski,95015,0,2,1,1,0,0.5,0.5,0
Cooper Kupp,11824,0,1,0,0,1,0,0,1
Christian McCaffrey,11763,0,1,1,0,0,1,0,0
Isaiah Williams,97156,0,1,1,0,0,1,0,0
Tyler Warren,129798,0,1,1,0,0,1,0,0
