player,player_id,season,,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Mitch Trubisky,11757,2023,0,PIT,5,68.6,102,107,9.1,2.78,0,1,0.9,62.6,67,0,49,4.3,122,3,-0.15,38,25,64.6,43.3,44.2,51,3,5,132,0,43.4,14.3,71.9,5.7,7,8,1,1,4,7,5.3,632,5.9
Anthony Richardson,124393,2023,0,IND,4,71.1,76,84,8,2.86,3,3,3.3,59.5,50,0,31,7.4,98,4,0.03,33,14,23.6,52.2,56.5,45.3,2,1,107,1,41.8,22.6,87.3,7.1,7,7,0,3,3,4,3.7,577,6.9
Tim Boyle,21956,2023,0,NYJ,3,72.2,72,77,6.2,2.48,1,2,2.5,62.3,48,0,32,7.7,86,4,-0.49,16,22,84.4,64.1,61.2,73.5,0,4,89,0,32.6,28.1,56.2,10.5,9,0,0,4,1,3,3.4,360,4.7
Drew Lock,39517,2023,0,SEA,4,75,72,76,8.5,2.56,3,2,2.5,63.2,48,0,31,11.1,85,6,-0.08,20,29,52.5,61.3,62.2,56.4,0,3,91,3,37.6,19.4,81.2,7.1,6,3,0,1,3,5,5.5,543,7.1
Jarrett Stidham,13725,2023,0,DEN,2,70.5,61,66,7.7,2.76,0,0,0,60.6,40,0,28,7,77,3,0.05,19,10,51.9,55.5,58.5,45,1,1,81,1,41.6,25,87.7,9.1,7,3,0,4,2,1,1.2,496,7.5
Andy Dalton,6187,2023,0,CAR,1,71.7,53,58,7.7,2.33,1,4,6.5,58.6,34,0,27,10.5,63,4,0.1,18,5,82.5,81.1,79.1,64.2,3,0,67,0,41.3,11.1,88.4,4.8,3,1,0,1,2,1,1.5,361,6.2
Case Keenum,7323,2023,0,HST,2,68.6,51,53,7.9,2.73,0,0,0,64.2,34,0,19,2.9,59,1,-0.38,14,13,82.5,44.8,45.6,54,0,3,68,1,39,31.6,61.1,10.2,6,0,0,2,1,4,5.9,291,5.5
C.J. Beathard,11859,2023,0,JAX,5,85.7,49,53,6.2,2.56,1,1,1.8,75.5,40,0,20,4.8,63,2,-0.01,21,15,45.5,71.5,74.6,46.9,0,0,68,0,49.2,30,98.7,9.5,6,4,0,3,1,2,2.9,349,6.6
Jameis Winston,9434,2023,0,NO,4,60,45,47,12.7,2.41,0,3,6,53.2,25,0,15,7.4,49,2,-0.23,10,20,81.5,56.3,55.8,61.3,0,3,52,1,32.7,13.3,57.4,4.1,2,0,0,2,2,3,5.8,264,5.6
Sam Darnold,29048,2023,0,SF,6,69.8,43,46,8.7,2.73,0,1,2,60.9,28,0,25,6.7,55,2,-0.1,16,28,22.9,66,66.5,57.8,1,1,59,1,49.1,24,85.1,10.9,6,3,1,1,2,2,3.4,297,6.5
