Player Id,Name,Team,Included in rank?,COV SCHEME,Passing grade,Att
1725,Philip Rivers,Colts,0,Bracket,47.5,1
1725,Philip Rivers,Colts,0,Cover-0,70.2,4
1725,Philip Rivers,Colts,0,Cover-1,46.4,19
1725,Philip Rivers,Colts,0,Cover-1 Double,54.9,1
1725,Philip Rivers,Colts,0,Cover-2,58.7,6
1725,Philip Rivers,Colts,0,Cover 2-Man,58.7,3
1725,Philip Rivers,Colts,0,Cover-3,40.9,35
1725,Philip Rivers,Colts,0,Cover-3 Seam,26,3
1725,Philip Rivers,Colts,0,Cover-6,81.1,16
1725,Philip Rivers,Colts,0,Prevent,60.5,1
1725,Philip Rivers,Colts,0,Quarters,69.8,12
1725,Philip Rivers,Colts,0,Red Zone,60.1,1
2241,Aaron Rodgers,Steelers,1,Bracket,45.4,12
2241,Aaron Rodgers,Steelers,1,Cover-0,67.5,19
2241,Aaron Rodgers,Steelers,1,Cover-1,68.7,114
2241,Aaron Rodgers,Steelers,1,Cover-1 Double,70.4,6
2241,Aaron Rodgers,Steelers,1,Cover-2,71.8,83
2241,Aaron Rodgers,Steelers,1,Cover 2-Man,57.9,22
2241,Aaron Rodgers,Steelers,1,Cover-3,66.1,133
2241,Aaron Rodgers,Steelers,1,Cover-3 Cloud,28.7,6
2241,Aaron Rodgers,Steelers,1,Cover-3 Seam,39.1,18
2241,Aaron Rodgers,Steelers,1,Cover-6,64,75
2241,Aaron Rodgers,Steelers,1,Goal Line,,1
2241,Aaron Rodgers,Steelers,1,Prevent,61.6,3
2241,Aaron Rodgers,Steelers,1,Quarters,78.5,91
2241,Aaron Rodgers,Steelers,1,Red Zone,59.8,27
2241,Aaron Rodgers,Steelers,1,Unknown,56.1,2
4332,Joe Flacco,Bengals,1,Bracket,66.2,19
4332,Joe Flacco,Bengals,1,Cover-0,43.6,7
4332,Joe Flacco,Bengals,1,Cover-1,74.8,118
4332,Joe Flacco,Bengals,1,Cover-1 Double,94.5,3
4332,Joe Flacco,Bengals,1,Cover-2,64,88
4332,Joe Flacco,Bengals,1,Cover 2-Man,72.4,14
4332,Joe Flacco,Bengals,1,Cover-3,51.4,94
4332,Joe Flacco,Browns,1,Cover-3 Cloud,62,2
4332,Joe Flacco,Bengals,1,Cover-3 Seam,80.6,13
4332,Joe Flacco,Bengals,1,Cover-6,68.7,45
4332,Joe Flacco,Browns,1,Goal Line,60,1
4332,Joe Flacco,Bengals,1,Miscellaneous,60,1
4332,Joe Flacco,Bengals,1,Prevent,42.6,4
4332,Joe Flacco,Bengals,1,Quarters,45.4,45
4332,Joe Flacco,Bengals,1,Red Zone,75.6,8
4332,Joe Flacco,Bengals,1,Unknown,51.1,4
4474,Josh Johnson,Commanders,0,Bracket,60,1
4474,Josh Johnson,Commanders,0,Cover-0,71.9,2
4474,Josh Johnson,Commanders,0,Cover-1,60.8,17
4474,Josh Johnson,Commanders,0,Cover-2,60.4,7
4474,Josh Johnson,Commanders,0,Cover-3,72.4,10
4474,Josh Johnson,Commanders,0,Cover-3 Seam,69.7,4
4474,Josh Johnson,Commanders,0,Cover-6,57.1,15
4474,Josh Johnson,Commanders,0,Quarters,29.9,13
4474,Josh Johnson,Commanders,0,Red Zone,,1
4474,Josh Johnson,Commanders,0,Unknown,56,2
4924,Matthew Stafford,Rams,1,Bracket,74.6,12
4924,Matthew Stafford,Rams,1,Cover-0,78.8,46
4924,Matthew Stafford,Rams,1,Cover-1,82.9,150
4924,Matthew Stafford,Rams,1,Cover-1 Double,67.3,5
4924,Matthew Stafford,Rams,1,Cover-2,59.3,71
4924,Matthew Stafford,Rams,1,Cover 2-Man,56.7,8
4924,Matthew Stafford,Rams,1,Cover-3,92,213
4924,Matthew Stafford,Rams,1,Cover-3 Cloud,44.7,4
4924,Matthew Stafford,Rams,1,Cover-3 Seam,76.6,46
4924,Matthew Stafford,Rams,1,Cover-6,91.6,76
4924,Matthew Stafford,Rams,1,Goal Line,58,1
4924,Matthew Stafford,Rams,1,Prevent,51.2,3
4924,Matthew Stafford,Rams,1,Quarters,81.8,136
4924,Matthew Stafford,Rams,1,Red Zone,63.1,22
4924,Matthew Stafford,Rams,1,Unknown,51.1,4
6187,Andy Dalton,Panthers,0,Cover-0,60,1
6187,Andy Dalton,Panthers,0,Cover-1,81.9,12
6187,Andy Dalton,Panthers,0,Cover-1 Double,71.3,1
6187,Andy Dalton,Panthers,0,Cover-2,34.3,7
6187,Andy Dalton,Panthers,0,Cover 2-Man,74.6,4
6187,Andy Dalton,Panthers,0,Cover-3,70.7,12
6187,Andy Dalton,Panthers,0,Cover-3 Cloud,68.5,2
6187,Andy Dalton,Panthers,0,Cover-6,25.9,4
6187,Andy Dalton,Panthers,0,Quarters,59.8,4
6187,Andy Dalton,Panthers,0,Red Zone,29,3
6332,Tyrod Taylor,Jets,1,Cover-0,71.5,6
6332,Tyrod Taylor,Jets,1,Cover-1,50.1,28
6332,Tyrod Taylor,Jets,1,Cover-2,67.3,21
6332,Tyrod Taylor,Jets,1,Cover-3,63.3,51
6332,Tyrod Taylor,Jets,1,Cover-3 Cloud,56.1,2
6332,Tyrod Taylor,Jets,1,Cover-3 Seam,54.3,14
6332,Tyrod Taylor,Jets,1,Cover-6,62.1,18
6332,Tyrod Taylor,Jets,1,Quarters,52.6,31
6332,Tyrod Taylor,Jets,1,Red Zone,60.2,6
6332,Tyrod Taylor,Jets,1,Unknown,60,1
7077,Russell Wilson,Giants,0,Bracket,51.3,5
7077,Russell Wilson,Giants,0,Cover-0,36.8,7
7077,Russell Wilson,Giants,0,Cover-1,52.1,19
7077,Russell Wilson,Giants,0,Cover-1 Double,51.5,2
7077,Russell Wilson,Giants,0,Cover-2,77.3,40
7077,Russell Wilson,Giants,0,Cover 2-Man,71.3,1
7077,Russell Wilson,Giants,0,Cover-3,61.6,24
7077,Russell Wilson,Giants,0,Cover-3 Seam,80.9,9
7077,Russell Wilson,Giants,0,Cover-6,39,15
7077,Russell Wilson,Giants,0,Goal Line,60,1
